,,,,,,,,,,#,#,,,,,#,,#,,#,,,,,,,
,,,,,,,,,,#,#,S,S,S,S,#,#,#,#,#,,,,,,,
,,,,,,,,,,,#,.,.,.,.,.,.,.,.,#,,,,,,,
,,,,,,,,,,,#,S,#,,#,#,#,#,.,#,,,,,,,
,,,,,,,,,,,#,.,#,#,#,.,#,#,.,#,,,,,,,
,,#,,#,,#,,#,#,#,#,.,.,.,.,B,.,.,.,#,,,,,,,
,#,#,#,#,#,#,#,#,.,.,#,#,#,#,#,.,#,.,#,#,,,,,,,
#,#,S,S,S,S,S,S,#,.,.,#,B,B,B,#,.,#,.,#,,,,,,,,
,#,S,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,#,#,#,,,,,
#,#,S,.,.,.,.,.,#,.,.,#,#,.,#,#,.,#,.,.,.,.,#,,,,,
,#,S,.,.,P,.,.,B,.,.,B,.,.,.,.,.,.,.,.,.,.,#,,,,,
#,#,S,.,.,.,.,.,#,.,.,.,#,.,.,.,.,#,.,#,B,.,#,,,,,
,#,S,.,.,.,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,,,,,
#,#,S,S,S,S,S,S,#,.,.,.,#,.,#,B,B,#,.,#,.,#,#,,,,,
,#,#,#,#,#,#,#,#,.,#,.,B,B,#,#,#,#,.,#,.,#,#,,,,,
,,#,,#,,#,,#,#,#,B,#,#,#,.,.,.,B,.,.,B,#,,,,,
,,,,,,,,,#,#,B,#,#,#,.,#,#,.,#,#,B,#,,,,,
,,,,,,,,,S,.,.,.,.,.,.,S,.,.,.,.,.,#,#,#,#,#,#
,,,,,,,,,#,#,#,#,#,#,.,#,#,#,#,#,B,B,.,#,.,.,#
,,,,,,,,,,,,,#,.,.,.,#,B,.,.,.,.,B,F,B,.,#
,,,,,,,,,,,,,#,B,B,B,#,.,.,.,B,#,#,B,.,.,#
,,,,,,,,,,,,,#,B,B,B,#,.,.,.,.,.,B,.,.,.,#
,,,,,,,,,,,,,#,#,#,#,#,.,.,.,B,#,#,#,#,#,#
,,,,,,,,,,,,,,,,,#,#,#,#,#,#,,,,,
