,,,,,,,,,,,,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#,.,B,B,B,B,B,B,B,B,.,#,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
,,,,,,,#,,,,,#,.,B,B,B,B,B,B,B,B,.,,B,,,,#,#,#,#,#,#,#,#,,,,,,
,,,,,,,#,.,,,,#,#,#,#,#,#,#,#,#,#,#,,,B,,,,,,,,,,,,#,,,,
,,,,,,,,.,#,,.,,#,,,,,,,,,,,,,,,,,,,,,,,,#,,,,
,,,,,,,,.,#,,.,,#,,,.,B,,,,,,,,B,,,,,,B,,,,#,,#,,#,,
,,,,,,,,.,,,.,,,,,B,,B,.,#,,,,.,.,.,,,,B,,B,,,#,.,#,.,#,,
#,#,,,,#,#,,.,,,.,,#,,,#,B,S,.,B,,B,,.,K,.,B,,B,,B,,B,,#,.,#,.,#,,#
#,#,.,.,.,#,#,,,,#,.,,#,.,.,#,,B,,,#,#,,.,.,.,,,,B,,B,,,#,.,#,.,#,,
,.,.,.,.,.,,,,,#,,,#,.,.,.,.,,B,,.,#,,,B,,,,,,B,,,,#,,#,,#,,
,.,.,P,.,B,,B,,B,,B,,.,.,.,.,#,B,,S,.,#,,,,,,,,,,,,,,,#,,,,
,.,.,.,.,.,,,,,,,,#,.,.,B,#,,B,,.,#,,,,,,,,,,,,,,,#,,,,
#,#,.,.,.,#,#,,,.,,,,#,.,.,.,#,.,B,,#,#,,,,,,,,,,,,,,,,,,,
#,#,,,,#,#,,,.,#,,,#,,,,#,,,,,,,,B,,,,,,,,,,,,,,,,
,,,,,,,,,.,#,.,,,,,,,,,,,,,,,,,,#,#,,,#,#,,,,,,,
,,,,,,,,#,.,,.,,,,,,,,,,,,,.,.,.,,#,#,,,#,#,,,,,,,,
,,,,,,,,#,.,,.,#,,,,,,,,,,,,.,K,.,.,.,.,.,.,.,.,.,.,F,,,,,
,,,,,,,,,,,.,#,,,,,,,,,,,#,.,.,.,#,,,#,#,,,#,#,,,,,,
,,,,,,,,,,,.,,,,,,,,,,,,#,#,#,#,#,,,,#,#,,,#,#,,,,,
